MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
5,11,1,9,,,55,0
5,16,1,9,,,36,0
5,13,2,1,,,61,0
5,18,1,1,,,53,0
2,16,2,1,,,80,0
5,16,2,1,,,20,0
3,19,2,1,,,55,0
5,16,1,9,,,39,0
5,11,1,1,,,15,0
2,21,1,1,,,93,0
5,17,2,8,,,17,0
5,16,1,9,8,40,21,12700
5,22,1,1,,,76,0
3,16,2,1,,,76,0
5,16,2,9,20,40,19,5000
5,16,1,1,,,58,0
3,19,2,1,,,86,0
2,16,2,1,,,85,0
1,16,1,8,52,40,29,12000
5,16,2,1,,,82,0
5,16,1,1,,,49,0
5,22,1,1,,,76,0
2,19,2,1,,,93,0
5,18,1,1,1,10,19,840
5,21,2,1,,,46,0
5,21,1,1,,,70,0
5,19,1,1,,,19,0
2,19,2,1,,,93,0
2,19,1,1,,,87,0
5,16,1,8,52,40,23,26000
5,16,1,6,,,20,0
5,18,1,1,,,56,0
5,22,1,1,,,68,0
5,11,1,8,,,15,0
5,17,1,1,,,30,0
5,18,1,1,52,40,20,29000
2,19,2,1,,,93,0
5,18,2,1,26,6,20,3300
5,18,1,8,52,40,24,18400
2,16,2,1,,,75,0
1,22,2,1,42,45,40,50000
5,16,1,6,,,66,0
5,21,1,1,,,29,0
3,19,2,1,,,70,0
3,23,1,1,52,45,50,108000
5,18,1,9,12,18,19,2700
5,16,1,1,,,29,0
2,19,2,1,,,79,0
5,16,1,1,,,19,0
5,16,1,1,,,41,0
3,23,1,1,52,45,50,108000
1,22,2,1,,,93,0
5,11,1,8,,,15,0
5,18,1,1,,,40,0
3,20,1,1,,,56,0
2,19,1,1,,,62,0
1,19,1,3,52,55,25,24000
2,16,2,6,,,88,0
2,1,2,1,,,69,0
5,14,1,2,,,27,0
5,11,1,1,,,15,0
5,16,2,2,,,33,0
5,14,1,9,30,40,17,18000
1,17,1,8,,,64,0
3,22,2,1,,,74,0
2,16,2,1,,,93,0
3,19,1,1,4,25,49,1000
5,18,1,1,12,18,19,2700
5,16,1,2,,,32,0
5,11,1,1,,,13,
5,19,1,1,26,30,18,10000
5,21,1,6,1,40,24,18000
3,16,2,1,,,46,0
3,19,1,3,,,67,0
2,19,2,1,,,80,0
1,19,2,1,,,51,0
1,21,1,1,,,79,0
4,14,1,1,20,25,45,6000
5,18,2,6,,,19,0
5,16,1,2,1,40,18,9900
5,16,1,1,18,10,18,3700
1,21,1,6,52,60,64,30000
2,19,1,1,,,71,0
1,18,2,1,2,20,18,5000
2,19,1,1,,,62,0
5,21,2,1,,,46,0
5,16,1,1,2,20,18,4000
5,17,1,1,,,35,0
5,19,1,1,18,40,19,7600
5,21,2,6,,,23,0
5,15,1,1,,,26,0
1,16,2,1,,,68,0
3,16,2,1,,,93,0
2,18,2,1,,,93,0
2,11,2,1,,,85,0
5,19,2,1,35,19,19,2500
1,17,1,1,,,45,0
2,22,2,1,,,88,0
