MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
1,21,1,1,,,69,0
1,23,2,1,52,30,65,30000
5,16,1,1,19,48,40,25000
5,22,2,1,52,45,35,65000
3,19,2,1,,,74,0
1,19,2,8,2,40,46,24000
1,21,1,1,52,40,52,60000
5,14,1,1,,,16,0
5,12,1,1,,,14,
5,19,1,1,52,43,28,61000
5,21,2,1,1,14,27,2000
1,23,2,1,52,40,60,100000
1,21,1,1,52,40,60,54000
1,19,2,1,52,40,37,40000
1,17,1,1,52,40,43,38000
5,4,2,1,,,7,
3,21,1,1,,,73,0
5,21,1,1,52,70,28,0
3,22,1,1,52,50,68,626000
2,18,2,1,,,75,0
5,16,1,1,26,8,35,0
1,19,2,9,52,40,50,26000
1,18,1,1,52,40,50,103000
4,18,2,1,,,30,0
5,19,1,1,52,25,21,14000
5,5,1,1,,,7,
5,2,2,1,,,4,
5,,1,1,,,1,
1,24,1,1,52,35,87,80000
1,19,2,7,,,85,0
1,18,2,1,52,40,51,0
1,21,1,1,52,50,51,60000
5,21,2,1,,,25,0
3,16,2,1,52,32,52,24000
1,23,1,6,52,50,48,275000
1,19,2,6,52,32,48,60000
5,14,2,6,10,30,17,3000
5,13,1,6,,,16,0
1,21,2,6,52,40,35,120000
1,21,1,6,52,40,40,200000
5,5,1,6,,,8,
5,2,1,6,,,4,
1,16,1,1,14,45,64,12000
1,16,2,1,,,64,0
1,19,1,1,28,40,65,70000
1,21,2,6,,,56,0
3,20,2,1,,,74,0
1,21,2,9,52,40,55,125000
1,21,1,1,52,45,58,126000
5,12,2,9,,,15,0
3,19,2,9,20,36,31,20000
1,19,2,1,52,50,58,43300
1,19,1,1,52,50,60,80000
1,21,1,1,52,40,33,84000
1,21,2,1,52,55,32,180000
1,21,1,6,52,40,56,148000
1,20,2,6,,,51,0
5,19,1,6,,,20,0
5,14,1,6,,,17,0
3,21,1,1,52,40,47,50000
1,22,1,1,52,60,51,168000
1,19,2,1,,,52,0
5,13,1,1,,,16,0
5,16,2,1,,,23,0
1,24,1,1,52,40,52,195000
1,21,2,1,52,20,49,0
5,11,2,1,,,14,
5,7,2,1,,,11,
1,19,1,1,,,66,0
1,16,2,1,45,40,66,50000
1,18,1,6,52,60,61,150000
1,1,2,6,52,60,56,0
1,20,1,6,,,41,0
5,19,1,6,52,40,26,33900
5,10,2,6,,,13,
5,9,2,6,,,10,
5,8,1,6,,,8,
5,1,1,6,,,3,
5,,2,6,,,0,
1,19,2,6,52,40,32,33400
5,21,1,6,52,40,36,154000
5,19,2,1,,,68,0
1,20,2,1,52,40,36,30000
1,19,1,1,52,45,41,75000
2,16,2,1,52,40,59,60000
1,21,1,1,52,40,47,626000
1,21,2,6,,,43,0
5,9,2,9,,,13,
1,18,1,1,52,40,61,90000
1,19,2,1,26,25,60,9000
5,21,1,1,52,36,26,65000
1,16,2,1,52,40,42,100000
1,20,1,1,52,40,43,50000
5,14,2,1,,,17,0
5,11,2,1,,,15,0
5,21,1,1,,,43,0
1,17,1,1,,,61,0
1,16,2,1,,,64,0
2,19,2,1,52,45,67,70000
1,21,2,1,52,40,48,137000
1,22,1,1,52,40,49,24000
5,12,2,1,,,14,
5,10,2,1,,,13,
1,17,2,1,52,32,52,27900
1,16,1,1,52,40,51,97000
5,14,2,1,,,18,0
3,19,1,1,,,72,0
3,21,2,1,,,72,0
1,18,2,1,,,27,0
1,19,1,9,10,40,26,15000
5,6,2,1,,,9,
5,2,2,1,,,6,
5,,1,1,,,1,
5,19,1,1,52,42,22,28000
5,16,2,1,52,40,21,36000
3,16,2,5,52,40,34,39000
5,12,2,9,,,15,0
5,7,1,9,,,11,
1,18,2,9,,,70,0
1,19,1,1,,,75,0
1,16,1,1,52,45,67,70000
1,19,2,1,49,2,61,15000
1,19,1,1,52,35,34,70000
1,18,2,1,52,40,33,36000
2,18,2,1,,,93,0
1,19,2,1,52,40,55,30000
1,19,1,1,52,50,53,110000
5,19,1,1,1,48,20,360
5,19,2,1,,,19,0
5,16,2,1,,,17,0
3,19,2,1,52,40,41,40600
5,7,1,1,,,10,
1,16,2,8,52,30,33,91000
1,17,1,8,52,45,43,0
5,10,1,8,,,12,
5,1,2,8,,,4,
5,,2,8,,,0,
1,21,2,1,52,36,54,37000
1,21,1,1,40,50,50,200000
5,22,1,2,52,40,41,80000
3,20,2,1,,,67,0
3,23,1,1,2,20,64,60000
5,10,1,1,,,79,0
1,21,2,1,52,40,37,35000
1,23,1,9,52,40,38,80000
5,6,1,9,,,10,
5,4,2,9,,,7,
5,,2,9,,,1,
2,19,2,1,52,40,49,51000
3,19,1,1,,,87,0
5,19,2,1,52,60,64,100000
3,21,2,1,,,69,0
2,21,2,1,,,80,0
1,22,2,1,1,12,40,6500
1,22,1,1,52,45,40,110000
5,6,1,1,,,9,
5,3,2,1,,,6,
1,20,1,6,52,40,30,76000
1,20,2,8,52,40,34,67000
1,16,2,1,,,67,0
1,21,1,1,,,64,0
3,16,1,1,35,40,60,0
1,22,1,1,52,35,42,80000
1,22,2,9,52,50,43,175000
1,19,2,9,,,66,0
1,19,1,9,,,65,0
1,21,2,1,,,41,0
1,20,1,1,52,55,41,74000
5,14,1,1,20,12,17,2500
5,8,1,1,,,11,
5,6,1,1,,,9,
5,4,2,1,,,6,
2,20,2,3,,,57,0
3,19,2,6,52,23,43,20000
5,8,1,6,,,11,
1,21,1,9,52,40,25,52000
1,21,2,1,45,30,25,10000
2,19,2,6,,,81,0
5,16,2,1,,,68,0
3,20,2,1,,,73,0
1,21,1,1,,,78,0
1,16,2,1,,,74,0
1,21,1,1,52,36,57,27000
1,19,2,1,52,40,51,65000
2,21,1,1,,,93,0
1,22,1,1,,,71,0
1,22,2,1,,,70,0
1,17,1,9,50,40,57,32000
1,18,2,1,,,53,0
2,19,2,1,,,69,0
1,22,2,1,52,40,57,110000
1,24,1,1,52,40,57,195000
5,19,2,1,52,20,18,8200
1,21,1,1,52,40,34,47800
1,21,2,1,52,30,38,24000
1,23,1,1,52,40,38,70000
5,11,2,1,,,14,
5,8,2,1,,,11,
5,5,2,1,,,8,
5,2,2,1,,,5,
2,20,1,1,,,86,0
2,20,2,1,,,57,0
1,20,1,9,52,40,43,52000
1,16,2,9,52,40,39,34000
5,9,1,9,,,12,
5,2,1,9,,,5,
3,21,1,1,,,65,0
2,21,2,1,,,66,0
1,18,2,9,52,40,43,90000
1,18,1,9,52,45,47,50000
5,9,2,3,,,12,
5,7,1,3,,,10,
5,5,1,3,,,8,
5,3,2,9,,,7,
5,1,1,9,,,4,
5,23,1,9,52,84,35,250000
5,22,2,9,52,40,30,35000
1,16,1,1,52,40,41,60000
1,20,2,1,4,55,36,50000
5,8,1,1,,,11,
5,,2,1,,,0,
5,16,1,1,,,61,0
1,18,1,1,28,42,65,9000
1,16,2,1,52,40,64,29000
1,16,1,9,,,57,0
1,16,2,9,52,35,56,250000
3,21,2,1,52,40,42,350000
5,3,1,1,,,6,
5,2,2,1,,,4,
3,16,2,1,52,40,54,44000
1,19,1,1,52,40,55,63000
1,20,2,6,52,40,42,65000
3,16,2,6,52,40,62,40000
3,21,1,1,52,45,48,43000
5,16,1,1,15,28,19,3800
5,14,1,1,,,18,0
1,16,1,8,48,60,48,120000
1,19,2,1,52,50,46,80000
5,18,2,9,52,40,21,25000
1,22,2,1,,,60,0
1,23,1,1,,,61,0
5,14,1,9,40,40,47,40000
5,9,1,9,,,12,
5,1,2,9,,,4,
1,23,2,1,52,60,46,98000
1,21,1,1,,,48,0
2,22,2,1,,,76,0
1,21,2,8,52,7,29,6000
1,21,1,1,52,20,33,13000
1,22,1,1,52,40,47,109000
1,21,2,1,52,40,41,78000
1,21,2,1,52,25,50,55000
1,16,1,1,52,40,54,60000
5,11,1,1,,,14,
1,18,1,6,52,50,44,31500
1,21,2,6,12,10,41,6000
5,8,1,6,,,11,
5,1,1,6,,,5,
5,,2,6,,,1,
1,22,2,1,,,67,0
1,24,1,1,52,60,69,626000
1,16,2,1,,,51,0
1,20,1,1,52,40,49,112000
5,16,1,1,40,40,27,15000
5,16,2,1,52,19,23,16700
5,1,2,1,,,3,
3,16,2,9,26,40,35,10000
5,10,1,9,,,14,
5,8,2,9,,,11,
5,3,1,9,,,7,
1,14,1,1,4,70,59,0
1,18,2,1,52,60,58,41700
1,18,1,1,52,40,30,60000
1,14,2,1,,,29,0
5,6,1,1,,,9,
5,1,1,1,,,4,
5,,2,1,,,2,
3,22,2,6,52,25,52,0
5,16,1,9,52,40,29,11000
5,21,2,1,52,40,24,64000
1,16,2,1,52,43,46,60000
1,19,1,1,52,40,44,60000
3,19,2,1,24,30,41,8000
5,11,1,1,,,14,
5,4,2,1,,,7,
2,17,2,9,11,40,60,50000
3,16,1,1,52,40,58,58000
1,20,1,1,25,24,60,15000
1,21,2,1,52,50,57,626000
5,16,1,1,52,40,21,24000
5,13,1,1,,,17,0
1,16,2,8,2,15,61,0
1,22,1,8,52,45,58,195000
5,12,1,8,,,13,
5,19,1,8,1,60,35,0
1,21,1,1,52,42,73,76000
1,16,2,6,,,50,0
5,18,1,1,52,70,30,70000
5,19,2,1,,,29,0
5,2,1,1,,,6,
5,1,1,1,,,4,
5,,1,1,,,2,
5,19,2,1,39,32,33,28100
5,21,1,1,52,45,29,65000
5,18,1,1,52,35,27,21400
1,21,1,1,,,68,0
1,19,2,1,,,66,0
5,15,1,1,,,23,0
5,23,1,1,52,40,37,42000
1,16,2,1,52,50,48,90000
1,16,1,9,52,45,51,24000
1,20,2,1,52,45,44,62000
1,19,1,1,52,50,46,86000
5,12,2,1,,,16,0
5,9,1,1,,,12,
1,19,2,1,49,20,73,12800
1,19,1,1,,,88,0
5,21,2,1,52,40,36,54000
1,19,2,1,52,45,42,95000
1,19,1,1,52,40,42,165000
1,22,1,1,,,72,0
1,21,2,1,,,66,0
5,17,2,1,40,80,23,60000
5,21,1,1,35,50,24,48000
3,16,2,1,52,99,50,70000
5,16,1,1,40,45,25,30000
5,20,2,8,52,40,23,50000
4,21,2,1,52,40,36,95000
5,20,2,1,,,66,0
1,16,1,1,,,67,0
1,15,2,6,,,72,0
1,20,2,1,52,40,59,80000
1,20,1,1,52,40,54,60000
1,21,2,1,52,20,41,65000
3,20,1,1,52,40,45,125000
3,16,2,1,50,40,44,20000
5,16,1,1,52,45,24,20000
5,16,2,1,16,3,19,300
5,12,1,1,,,16,0
2,19,2,1,52,40,69,22000
2,22,2,1,52,50,62,200000
1,21,1,9,35,25,69,225000
1,21,2,1,,,69,0
1,21,1,1,,,79,0
1,16,2,1,,,78,0
5,16,1,1,48,40,53,48000
4,16,2,1,,,53,0
5,22,2,1,52,40,27,55000
5,21,2,1,52,40,32,88000
1,21,2,6,50,40,43,55000
1,22,1,6,52,40,52,150000
5,13,2,6,2,7,16,300
5,4,2,6,,,7,
5,17,2,3,52,40,30,30000
5,5,1,3,,,8,
5,2,2,3,,,5,
1,18,1,1,,,75,0
1,18,2,1,,,76,0
1,21,1,2,,,73,0
1,16,2,2,,,72,0
1,21,1,1,52,40,55,95000
1,20,2,6,,,56,0
5,10,2,9,,,13,
1,18,1,1,,,62,0
1,19,2,1,,,56,0
3,19,1,1,52,40,66,100000
1,20,1,1,26,95,40,90000
1,16,2,1,38,35,42,18000
5,11,2,1,,,14,
5,9,1,1,,,12,
1,21,1,1,52,40,34,60000
1,14,1,2,,,66,0
1,17,2,2,52,40,59,52000
5,11,1,2,,,14,
2,15,1,2,,,76,0
3,15,2,9,52,40,60,0
1,22,1,1,,,78,0
1,23,2,1,,,80,0
5,21,2,1,40,50,23,30000
5,17,1,1,52,38,47,39500
5,16,2,1,,,46,0
2,18,2,1,,,93,0
3,22,2,1,52,45,57,82000
5,17,1,1,52,30,20,20000
5,16,1,1,46,40,27,23000
5,20,1,1,,,55,0
2,16,2,1,,,89,0
3,20,1,1,8,20,58,700
5,14,1,1,,,27,0
1,19,1,1,52,40,37,63000
1,19,2,1,52,10,38,5000
5,1,2,1,,,3,
2,18,1,1,,,85,0
3,20,1,1,,,73,0
4,16,1,9,,,85,0
1,21,2,6,52,32,44,18000
1,16,1,6,52,40,35,75000
5,1,1,6,,,4,
1,22,1,1,,,73,0
1,21,2,1,,,73,0
1,19,1,1,,,69,0
1,19,2,1,,,67,0
3,21,1,1,,,45,0
3,16,1,1,52,45,41,100000
5,18,2,9,44,32,39,55000
5,20,1,9,52,40,19,19100
5,13,2,9,52,8,16,820
2,16,2,1,,,88,0
5,20,2,9,,,22,0
5,20,1,1,2,40,23,4300
1,20,2,1,52,40,40,68000
1,20,1,1,44,40,47,85000
5,14,2,1,32,20,17,7500
5,8,1,1,,,12,
2,16,2,1,,,66,0
2,20,2,3,,,65,0
5,7,2,3,,,10,
5,3,1,3,,,7,
1,18,2,1,12,40,74,6900
1,18,1,1,,,76,0
1,1,2,8,,,61,0
1,1,1,8,52,50,64,20000
5,20,1,8,20,30,33,11000
1,20,2,1,2,40,59,15600
1,21,1,1,,,58,0
1,20,1,1,52,55,51,64000
1,20,2,1,52,33,51,15200
5,16,1,1,32,40,22,28000
5,19,2,1,52,40,24,40800
5,22,2,1,52,24,65,24600
5,21,1,6,52,40,26,50000
1,21,2,1,52,24,59,37000
1,21,1,1,25,15,58,0
1,20,2,1,52,18,38,18000
1,16,1,1,52,50,40,63000
5,5,2,1,,,8,
5,1,2,1,,,3,
5,19,2,1,52,40,29,30000
5,3,2,1,,,6,
5,1,2,1,,,5,
5,22,2,6,52,40,25,95000
5,22,1,6,4,40,25,136000
1,21,1,1,45,60,29,0
1,22,2,1,49,40,29,52000
5,1,1,1,,,3,
5,,2,1,,,1,
3,20,2,1,52,40,61,43700
3,21,2,1,,,50,0
3,17,1,9,,,49,0
5,21,1,1,52,40,38,150000
5,21,1,1,52,40,28,100000
1,21,2,1,52,40,35,103000
1,19,1,1,,,35,0
5,1,1,1,,,5,
5,1,1,1,,,3,
5,21,1,6,4,20,39,0
5,19,2,9,,,42,0
5,17,1,8,36,40,44,24000
5,7,1,9,,,10,
5,3,1,9,,,6,
1,16,1,1,,,80,0
1,19,2,1,,,63,0
5,21,1,1,52,40,30,165000
1,16,2,1,,,80,0
1,1,1,1,,,93,0
3,16,1,1,52,40,61,40000
5,21,2,1,52,50,30,235000
5,21,2,1,52,50,34,235000
5,15,2,8,12,40,41,10500
5,10,2,8,,,13,
5,,1,8,,,2,
1,20,2,3,52,65,44,50000
1,17,1,1,52,40,45,44200
5,12,1,9,,,17,0
3,16,1,1,,,63,0
1,23,1,1,,,60,0
1,21,2,1,,,59,0
1,21,2,1,52,50,57,140000
1,22,1,1,52,40,57,110000
5,20,1,1,6,20,23,1500
1,21,1,1,52,32,62,80000
1,18,2,9,52,40,58,22000
1,21,1,1,52,40,56,80000
1,21,2,1,46,70,59,150000
5,21,1,1,,,66,0
5,19,1,2,52,50,60,139000
1,21,1,1,52,40,54,103000
1,20,2,6,52,40,37,58000
3,20,1,1,52,40,58,59000
5,21,1,1,,,68,0
5,16,1,1,52,70,48,27100
3,16,2,1,,,50,0
3,20,2,9,52,4,49,27000
3,17,1,1,52,40,42,41600
5,13,2,9,,,16,0
5,13,2,1,,,16,0
5,16,1,1,,,69,0
3,22,1,1,,,77,0
2,21,2,1,,,93,0
1,20,2,6,52,40,58,150000
1,18,1,6,52,60,55,350000
5,20,1,6,,,25,0
5,20,2,6,52,20,21,5300
3,14,2,6,52,40,49,67000
5,20,2,6,52,20,24,20700
3,22,2,1,,,77,0
3,21,2,1,52,45,39,85000
5,22,1,1,52,45,35,68000
5,14,1,1,52,12,16,1000
5,11,1,1,,,14,
5,11,2,1,,,14,
5,10,1,1,,,13,
4,12,1,1,52,40,58,0
1,16,2,1,52,15,36,28900
5,1,1,3,,,4,
1,16,1,3,52,40,36,80000
5,17,1,1,52,20,30,64000
5,9,2,9,,,63,0
5,17,2,8,,,27,0
5,12,2,8,,,14,
5,9,2,8,,,13,
5,1,1,8,,,5,
1,21,2,1,,,69,0
1,20,1,1,4,2,69,0
1,21,1,1,52,45,61,100000
1,16,2,1,52,40,61,58000
1,19,1,1,,,64,0
1,18,2,1,,,65,0
5,22,2,1,20,10,69,3000
5,14,1,6,52,40,34,54000
5,17,1,9,24,40,32,20000
5,16,1,6,8,40,30,4000
3,24,2,1,,,73,0
1,16,1,1,,,82,0
1,16,2,1,,,74,0
1,20,2,1,52,32,54,26500
1,19,1,1,52,40,57,46800
1,21,1,1,,,53,0
5,22,2,1,30,30,26,100000
5,21,2,1,,,51,0
5,,1,1,,,1,
3,20,1,1,,,85,0
5,16,2,1,40,40,20,10800
1,19,2,1,,,56,0
1,20,1,1,6,8,56,1600
5,16,1,1,27,40,26,16800
5,19,2,1,52,40,23,33100
1,22,1,6,52,50,29,145000
1,21,2,6,52,55,31,200000
3,23,2,1,52,40,54,200000
5,17,1,1,52,50,30,45000
3,16,1,1,52,40,26,50000
5,21,2,1,52,40,25,65000
5,21,1,1,52,40,30,55000
1,22,1,6,52,40,46,250000
1,22,2,6,,,42,0
5,14,2,6,,,17,0
5,10,2,6,,,12,
1,21,2,1,52,40,33,85000
1,21,1,1,52,50,33,90000
5,2,2,1,,,3,
1,21,1,6,,,93,0
1,16,2,6,,,89,0
5,17,2,1,52,40,29,39000
5,8,2,1,,,10,
5,7,2,1,,,9,
4,1,2,8,52,45,75,38000
5,16,1,8,,,34,0
1,21,2,1,,,49,0
1,21,1,9,52,45,48,130000
5,11,2,9,,,14,
1,24,1,1,,,89,0
1,22,2,1,,,89,0
1,18,1,9,52,45,39,61000
1,18,2,1,52,36,38,78000
5,4,2,9,,,8,
5,3,1,9,,,6,
5,1,2,9,,,4,
5,,1,9,,,1,
5,21,2,9,52,45,41,111000
1,22,2,1,,,64,0
1,19,1,1,,,67,0
2,1,2,6,,,82,0
5,17,1,6,5,5,56,390
5,19,1,1,52,8,72,14000
2,19,2,9,,,65,0
5,15,1,9,52,8,27,29300
5,16,1,9,,,23,0
1,21,1,1,52,50,43,134000
1,21,2,6,52,40,47,80000
1,21,1,1,52,45,26,50000
1,22,2,1,52,40,29,50000
1,21,2,1,1,6,68,0
1,21,1,1,,,71,0
5,19,2,1,,,37,0
1,21,1,2,52,40,40,50000
1,18,2,2,30,30,28,33800
5,6,2,2,,,9,
5,1,1,2,,,3,
3,21,2,9,,,77,0
3,19,1,1,,,82,0
5,16,1,1,,,53,0
5,16,2,1,52,40,38,40300
1,21,1,8,50,24,49,0
1,15,2,8,,,48,0
5,10,1,8,,,14,
5,7,2,8,,,10,
1,22,1,6,,,69,0
1,22,2,6,17,35,68,55000
4,19,1,1,52,50,43,70000
2,16,2,1,52,40,65,55000
1,22,1,6,52,40,48,141000
1,21,2,6,52,40,44,100000
5,3,2,6,,,6,
1,21,2,1,,,28,0
1,19,1,1,52,60,26,54000
5,,1,1,,,0,
1,19,2,1,,,64,0
5,21,1,6,52,40,28,77000
5,22,2,6,52,40,30,55000
1,21,2,1,52,40,50,6000
1,22,1,1,52,40,50,40000
5,7,1,1,,,11,
1,16,2,1,52,40,47,200000
1,17,1,1,52,40,45,50000
2,20,2,1,,,59,0
2,16,1,1,,,86,0
1,21,2,1,,,73,0
1,22,1,1,,,77,0
1,19,2,1,52,40,33,0
1,16,1,1,52,40,36,65000
5,17,2,2,52,20,25,10800
1,24,2,1,52,40,50,195000
1,21,1,1,,,52,0
5,12,2,1,,,15,0
5,12,1,1,,,15,0
3,18,1,1,52,40,59,90000
5,17,1,1,21,32,32,10000
1,17,1,1,52,40,56,45000
1,16,2,1,52,40,56,55000
1,19,2,1,,,39,0
1,16,1,1,7,40,35,8000
5,8,1,1,,,10,
5,4,2,1,,,6,
5,1,2,1,,,3,
1,22,1,8,52,40,60,130000
1,23,1,1,52,45,66,270000
2,16,2,6,,,93,0
3,20,2,1,52,35,58,42000
1,16,2,1,4,19,27,14800
2,21,2,1,52,40,53,72000
5,22,1,1,52,45,31,68000
1,16,2,1,,,82,0
1,14,1,1,,,81,0
1,21,1,6,52,40,32,65000
1,21,2,6,52,40,32,85000
5,22,2,1,52,50,32,63000
5,21,2,1,52,40,27,100000
1,18,1,1,32,50,30,20000
5,6,1,1,,,9,
5,14,1,1,32,40,35,30000
3,19,1,1,52,40,54,50000
5,21,1,9,52,40,38,113000
2,21,1,1,32,22,40,13000
5,16,1,8,52,40,50,18000
1,21,2,1,52,40,37,160000
1,22,1,1,52,40,38,160000
1,16,1,1,52,40,57,90000
1,24,2,1,52,30,64,0
5,19,1,1,52,60,31,90000
5,20,2,1,52,40,31,30000
5,7,2,1,,,10,
5,5,2,1,,,8,
5,2,1,1,,,4,
1,21,1,1,19,40,61,63000
1,21,2,1,1,24,63,140
3,19,2,1,,,69,0
2,19,2,1,,,85,0
1,17,1,1,,,71,0
1,16,2,1,,,78,0
1,19,2,1,48,45,39,30000
1,17,1,1,52,45,46,55000
5,9,2,1,,,12,
5,1,2,1,,,5,
5,16,2,1,40,20,21,10000
1,18,1,9,52,30,28,6000
1,19,2,9,52,84,26,25000
3,16,2,1,,,65,0
2,16,1,1,,,69,0
3,20,2,6,52,38,60,30000
3,18,1,1,,,68,0
3,16,2,1,,,62,0
1,18,2,2,52,40,43,80000
5,10,2,2,,,13,
5,6,1,2,,,9,
3,19,1,1,,,71,0
1,19,1,1,52,50,41,60000
1,20,2,1,2,18,35,400
5,11,2,1,,,14,
5,10,1,1,,,12,
5,7,2,1,,,10,
5,6,2,1,,,9,
1,20,1,1,52,40,37,30000
1,16,2,1,52,40,41,10000
5,14,2,1,4,35,18,200
1,16,1,1,52,40,45,50000
1,16,2,1,,,44,0
5,7,1,1,,,10,
1,19,1,9,,,66,0
1,16,2,9,52,40,61,52000
5,21,2,1,52,40,48,110000
1,16,2,6,48,28,34,13400
1,16,1,6,52,99,39,57000
5,7,2,6,,,9,
5,6,2,6,,,8,
1,23,2,2,4,40,37,27400
1,20,1,2,,,19,0
5,14,2,2,40,25,16,7000
5,10,2,2,,,14,
1,19,2,1,52,40,18,25000
1,16,1,2,52,40,43,40000
2,20,2,8,52,10,73,0
5,12,1,8,,,56,0
3,9,1,8,40,28,53,0
1,18,1,1,52,48,64,113000
1,19,2,1,52,40,64,32000
1,24,1,6,,,83,0
1,20,2,6,,,80,0
1,19,2,1,,,68,0
1,21,1,1,,,74,0
1,17,1,1,,,77,0
1,16,2,1,,,76,0
1,22,2,6,52,40,46,200000
1,22,1,6,,,52,0
5,10,2,6,,,13,
5,19,1,1,52,50,26,36000
5,18,2,1,8,10,21,1500
1,21,1,1,,,73,0
1,21,2,1,,,73,0
4,21,2,1,52,40,62,60000
1,23,2,1,52,40,36,114000
1,21,1,1,52,40,33,105000
1,20,2,9,52,35,26,73000
1,20,1,1,,,28,0
5,5,1,9,,,8,
1,22,1,1,,,76,0
1,22,2,6,,,71,0
3,20,2,1,52,44,64,80000
5,19,1,1,52,40,26,37400
1,16,1,1,,,72,0
1,16,2,1,,,66,0
2,18,2,1,,,93,0
3,20,1,1,52,35,36,0
1,21,2,1,,,80,0
1,1,1,1,,,81,0
1,22,1,1,52,50,51,102000
1,21,2,9,52,18,44,12700
5,13,1,9,9,34,18,3900
5,11,2,9,,,15,0
5,8,1,9,,,12,
2,18,2,1,,,77,0
5,22,1,1,52,40,32,56000
5,22,2,1,52,40,32,50000
1,21,2,1,52,40,59,35000
1,16,1,1,52,40,61,47000
1,24,2,1,52,40,40,0
1,21,1,1,,,38,0
5,3,2,1,,,6,
5,2,2,1,,,4,
1,17,2,1,,,60,0
1,16,1,1,52,40,56,149000
1,21,1,1,52,40,70,45000
1,16,2,1,20,10,70,12000
1,23,2,1,52,55,40,115000
1,23,1,1,52,55,43,170000
5,5,1,1,,,8,
5,1,1,1,,,3,
1,21,1,1,52,30,65,0
1,18,2,9,,,65,0
3,14,2,9,,,65,0
5,18,1,9,30,28,33,14700
3,16,2,1,52,40,43,35000
5,14,2,1,,,18,0
5,11,1,1,,,15,0
5,8,1,1,,,11,
1,16,1,1,,,82,0
1,16,2,1,,,82,0
1,22,2,9,52,20,34,0
5,1,1,9,,,4,
5,,1,9,,,1,
3,19,2,1,,,72,0
5,18,1,1,38,50,53,179000
1,22,1,6,52,40,49,190000
1,22,2,6,52,40,45,136000
5,14,1,6,,,17,0
5,9,2,6,,,12,
1,16,2,9,,,73,0
1,19,1,1,,,67,0
1,17,2,1,,,29,0
1,16,1,1,52,40,31,100000
5,4,2,1,,,7,
5,1,1,1,,,4,
5,,2,1,,,1,
5,19,2,1,52,22,79,22400
5,19,2,8,52,40,27,55000
5,19,2,8,22,40,25,10500
1,19,2,1,,,66,0
1,21,1,1,,,72,0
1,16,2,1,,,74,0
1,19,1,9,,,79,0
5,19,1,9,12,40,43,15000
1,19,2,1,15,40,40,12000
5,21,2,9,52,40,36,43800
1,21,1,1,52,30,42,24000
1,20,2,1,52,20,43,0
5,5,2,1,,,9,
5,22,2,1,52,40,37,96000
4,19,1,1,,,45,0
5,5,1,9,,,7,
5,10,2,1,,,13,
1,19,1,9,,,67,0
1,16,2,1,,,57,0
1,16,1,1,,,89,0
1,21,1,1,52,40,46,300000
1,22,2,9,26,20,44,8000
5,9,2,9,,,13,
5,7,2,9,,,11,
5,20,2,1,52,20,65,46600
5,21,1,1,52,40,52,46300
3,17,1,1,3,40,50,490
1,16,1,1,52,30,58,30000
1,16,2,1,,,59,0
1,21,2,9,24,24,32,20000
1,21,1,2,52,50,33,80000
5,,2,9,,,2,
5,,1,9,,,0,
5,20,2,1,52,40,24,35000
5,20,1,1,52,40,23,40000
5,20,1,1,52,40,20,19100
3,16,1,1,14,45,62,45000
3,20,2,1,,,62,0
5,20,2,9,52,35,31,18000
3,21,2,1,,,66,0
5,21,2,1,52,42,30,0
1,21,1,1,,,70,0
1,16,2,1,,,69,0
5,16,2,1,,,39,0
3,18,2,1,,,62,0
3,21,1,9,,,65,0
5,21,2,9,52,40,26,70000
1,8,2,9,45,8,24,2000
1,20,2,1,,,35,0
1,23,1,1,49,60,38,278000
5,9,1,1,,,12,
5,4,1,1,,,8,
2,24,1,1,,,93,0
5,6,1,1,,,9,
3,19,2,6,,,65,0
5,21,1,1,52,50,32,53000
3,1,2,8,52,40,48,38000
5,20,2,8,52,40,20,28000
5,1,2,8,40,30,63,28000
2,9,2,1,,,93,0
3,21,1,1,52,40,59,55000
5,13,2,1,45,8,20,2000
3,20,1,1,,,67,0
3,20,1,1,,,67,0
1,21,1,6,52,40,38,100000
1,21,2,6,,,38,0
5,13,1,9,52,48,19,33000
3,19,1,1,52,40,61,80000
3,19,2,1,,,63,0
2,19,1,1,,,85,0
5,19,1,1,52,40,52,70000
3,20,2,1,,,78,0
3,21,1,1,20,3,66,8000
2,16,2,1,,,93,0
1,24,1,9,52,48,37,300000
1,19,2,8,,,37,0
5,2,1,8,,,4,
5,,2,8,,,1,
2,16,2,1,,,75,0
1,19,2,1,,,62,0
1,19,1,1,48,40,65,110000
3,20,1,1,52,40,51,80000
5,1,2,1,32,40,28,10600
5,16,1,1,52,40,40,75000
5,7,1,9,,,11,
5,1,1,1,,,5,
1,16,1,9,34,40,54,28300
1,9,2,9,,,52,0
3,16,1,9,52,40,31,75000
5,19,2,9,52,40,27,48000
5,16,2,9,24,30,22,27700
1,18,2,1,,,55,0
1,21,1,1,52,40,63,68000
1,21,2,1,,,65,0
1,21,1,6,,,67,0
1,16,2,1,52,40,55,60000
1,15,1,1,52,40,57,100000
5,16,2,1,52,40,26,50000
1,22,1,1,,,86,0
1,21,2,1,,,85,0
3,16,1,1,,,66,0
3,16,2,1,52,30,64,12000
1,23,1,1,,,74,0
1,22,2,1,,,73,0
1,23,1,1,52,40,50,95000
1,22,2,1,52,40,49,85000
5,13,2,1,4,30,17,1000
1,22,1,6,52,40,33,250000
